club_name,team_rating,pace,shooting,passing,dribbling,defending,physical
Abha,61.7787610619469,65.47787610619469,47.27433628318584,52.21238938053097,57.690265486725664,46.50442477876106,62.73451327433628
Academia Puerto Cabello,62.411764705882355,64.0,47.01960784313726,51.80392156862745,55.94117647058823,49.86274509803921,60.88235294117647
Academica Clinceni,60.95945945945946,63.75675675675676,48.432432432432435,51.9054054054054,56.4054054054054,46.027027027027025,61.4054054054054
Accrington Stanley,58.90756302521008,65.97478991596638,44.84453781512605,48.54201680672269,53.911764705882355,47.22268907563025,63.11344537815126
Adana Demirspor,68.35135135135135,70.51351351351352,58.770270270270274,61.054054054054056,67.20270270270271,52.91891891891892,65.14864864864865
Adanaspor,64.61538461538461,65.07692307692308,50.11538461538461,55.38461538461539,60.30769230769231,49.26923076923077,62.38461538461539
Adelaide United,61.50251256281407,67.46733668341709,47.527638190954775,52.914572864321606,58.88442211055276,47.25125628140704,62.5929648241206
Admira,60.9572192513369,64.35828877005348,45.4331550802139,50.50802139037433,55.893048128342244,46.716577540106954,62.06417112299465
Ajaccio,64.41628959276018,67.26696832579185,51.782805429864254,56.65158371040724,61.34841628959276,47.92307692307692,63.80995475113122
Ajax,73.29317269076306,72.73092369477912,60.23293172690763,66.66265060240964,71.70682730923694,55.502008032128515,67.8995983935743
Ajax W,71.21739130434783,68.95652173913044,60.95652173913044,58.43478260869565,66.8695652173913,52.52173913043478,66.34782608695652
Akhisar Belediyespor,67.4873949579832,68.6470588235294,55.0672268907563,59.529411764705884,64.75630252100841,53.563025210084035,65.6470588235294
Al Adalh,60.656716417910445,65.61194029850746,45.0,52.208955223880594,56.940298507462686,48.44776119402985,61.701492537313435
Al Ahli Jeddah,65.40082644628099,70.57851239669421,51.107438016528924,55.6900826446281,62.15289256198347,49.17768595041322,66.29752066115702
Al Ain,65.21487603305785,71.0909090909091,49.51239669421488,56.37190082644628,61.570247933884296,49.84297520661157,63.66942148760331
Al Batin,58.375,66.03333333333333,43.875,48.25833333333333,54.71666666666667,43.30833333333333,59.1
Al Ettifaq,61.985074626865675,68.56218905472637,47.16417910447761,51.417910447761194,58.86069651741293,47.6865671641791,62.78109452736319
Al Faisaly,60.61764705882353,66.17156862745098,47.166666666666664,51.40686274509804,57.009803921568626,45.02450980392157,64.62745098039215
Al Fateh,60.66798418972332,66.73122529644269,47.22924901185771,52.616600790513836,57.47826086956522,46.948616600790515,63.719367588932805
Al Fayha,63.383233532934135,67.27544910179641,48.0,54.32934131736527,59.92215568862275,48.44311377245509,64.49700598802396
Al Hazem,61.492063492063494,68.57142857142857,46.95238095238095,52.42063492063492,58.69047619047619,47.32539682539682,61.04761904761905
Al Hilal,68.47126436781609,70.55938697318008,55.172413793103445,59.59770114942529,63.81992337164751,52.727969348659,67.28352490421456
Al Ittihad,65.4942084942085,69.17374517374517,51.84942084942085,56.24710424710425,61.84555984555985,50.61003861003861,65.81853281853282
Al Khaleej,58.47727272727273,65.53030303030303,44.36363636363637,49.303030303030305,55.03787878787879,46.85606060606061,61.11363636363637
Al Nassr,66.82442748091603,70.90458015267176,52.41984732824427,57.530534351145036,62.599236641221374,51.099236641221374,66.45038167938931
Al Okhdood,60.72,67.88,46.72,53.16,56.92,48.36,59.8
Al Orobah,56.0,66.5925925925926,43.7037037037037,45.55555555555556,52.333333333333336,42.55555555555556,59.111111111111114
Al Qadisiyah,60.06060606060606,66.0909090909091,45.484848484848484,50.02020202020202,55.54545454545455,45.24242424242424,61.14141414141414
Al Raed,61.108870967741936,67.20967741935483,46.314516129032256,51.65725806451613,58.19758064516129,46.37903225806452,63.58870967741935
Al Riyadh,60.69230769230769,66.76923076923077,47.07692307692308,53.07692307692308,57.30769230769231,46.15384615384615,60.34615384615385
Al Shabab,64.21923076923076,70.36538461538461,50.323076923076925,55.15,60.83076923076923,49.10769230769231,64.96538461538462
Al Shoulla,57.370370370370374,67.92592592592592,42.111111111111114,46.22222222222222,52.03703703703704,47.2962962962963,64.51851851851852
Al Taawon,61.312252964426875,68.02766798418972,46.948616600790515,51.92885375494071,57.901185770750985,46.32411067193676,62.691699604743086
Al Tai,61.09090909090909,67.0,45.77922077922078,52.15584415584416,58.324675324675326,47.42857142857143,61.246753246753244
Al Wahda,62.443243243243245,67.56756756756756,49.34054054054054,53.3027027027027,58.372972972972974,47.27567567567568,63.29189189189189
Alanyaspor,67.135,66.18,54.06,58.565,63.535,53.295,64.83
Albacete,65.26767676767676,67.44949494949495,50.95454545454545,57.41414141414141,61.10606060606061,51.08585858585859,62.32828282828283
Albirex Niigata,58.90384615384615,65.38461538461539,44.42307692307692,48.61538461538461,54.05769230769231,44.69230769230769,61.36538461538461
Alcorcón,66.41509433962264,65.04245283018868,52.06132075471698,57.448113207547166,61.2122641509434,51.259433962264154,64.27358490566037
Aldosivi,65.15028901734104,66.44508670520231,51.83236994219653,56.23121387283237,61.70520231213873,51.017341040462426,63.76300578034682
Alianza Lima,64.84722222222223,65.94444444444444,52.763888888888886,56.31944444444444,61.09722222222222,48.263888888888886,63.34722222222222
Alianza Petrolera,62.321917808219176,67.28082191780823,46.65068493150685,52.31506849315068,56.794520547945204,47.28767123287671,63.582191780821915
Almere City,63.4,66.24,51.04,56.0,60.64,49.88,62.48
Almería,68.45454545454545,67.8695652173913,54.44664031620553,59.50197628458498,64.32806324110672,53.351778656126484,64.18577075098814
Altay,67.28,64.92,54.96,57.88,63.6,51.52,68.36
Always Ready,63.785714285714285,68.15714285714286,51.2,55.7,60.81428571428572,51.42857142857143,61.05714285714286
Amiens SC,66.10731707317073,67.82439024390244,52.17560975609756,57.24390243902439,63.614634146341466,50.59512195121951,64.6829268292683
Amkar Perm,64.46153846153847,62.24175824175824,52.934065934065934,55.934065934065934,59.72527472527472,53.59340659340659,66.81318681318682
Amorebieta,64.79545454545455,61.38636363636363,51.56818181818182,56.54545454545455,60.02272727272727,51.52272727272727,62.97727272727273
América,68.33990147783251,70.74384236453201,56.51231527093596,60.77832512315271,65.52709359605912,52.960591133004925,65.57142857142857
América Mineiro,69.44444444444444,65.54166666666667,54.56944444444444,60.02777777777778,62.52777777777778,56.65277777777778,66.51388888888889
América de Cali,64.68613138686132,67.61313868613139,50.88321167883212,55.518248175182485,60.10948905109489,50.64233576642336,65.1970802919708
Anderlecht,70.49583333333334,71.82083333333334,57.2,63.7375,69.175,53.541666666666664,66.10833333333333
Angel City W,75.91666666666667,72.375,62.416666666666664,67.25,71.33333333333333,60.708333333333336,70.25
Angers SCO,67.91851851851852,64.97777777777777,53.1037037037037,59.818518518518516,64.13333333333334,52.04814814814815,64.92962962962963
Ankaragücü,67.1858407079646,65.46902654867256,53.63716814159292,58.39823008849557,63.0353982300885,52.51327433628319,64.70796460176992
Ankaraspor,69.06849315068493,69.27397260273973,56.04109589041096,60.19178082191781,65.10958904109589,54.534246575342465,67.67123287671232
Annecy,63.020833333333336,62.354166666666664,48.625,53.645833333333336,58.458333333333336,46.875,60.854166666666664
Antalyaspor,67.7488986784141,68.03083700440529,55.713656387665196,60.030837004405285,64.38766519823788,52.63876651982379,65.00440528634361
Antofagasta,64.10810810810811,66.46486486486486,48.29189189189189,55.08108108108108,59.972972972972975,49.4054054054054,61.94054054054054
Antwerp,68.90643274853801,69.28070175438596,55.89473684210526,60.619883040935676,65.06432748538012,53.87719298245614,67.64327485380117
Aragua,61.093023255813954,65.65116279069767,46.51162790697674,51.46511627906977,54.97674418604651,47.2093023255814,60.53488372093023
Argentinos Juniors,66.19597989949749,68.08542713567839,53.19095477386934,57.005025125628144,63.130653266331656,51.71356783919598,64.10050251256281
Argeş,61.388888888888886,66.81944444444444,48.94444444444444,53.236111111111114,55.763888888888886,47.34722222222222,61.708333333333336
Arka Gdynia,62.38709677419355,64.68817204301075,48.89247311827957,52.946236559139784,57.83870967741935,52.31182795698925,65.17204301075269
Arouca,67.41666666666667,67.0,53.34027777777778,58.354166666666664,63.763888888888886,53.15972222222222,64.48611111111111
Arsenal,75.37457044673539,72.44329896907216,59.47766323024055,66.99312714776632,71.8213058419244,57.776632302405496,68.35051546391753
Arsenal Tula,63.25,63.68421052631579,51.473684210526315,53.473684210526315,58.56578947368421,51.01315789473684,62.973684210526315
Arsenal W,80.07142857142857,74.21428571428571,65.52380952380952,71.54761904761905,75.92857142857143,63.785714285714285,70.0
Arsenal de Sarandi,65.16299559471365,66.1762114537445,51.07929515418502,55.00440528634361,61.13215859030837,50.418502202643175,64.73127753303964
Ascoli,64.8443113772455,67.17964071856288,51.7185628742515,55.40718562874252,61.26946107784431,49.053892215568865,64.37724550898204
Associação Académica de Coimbra,66.54,69.54,53.48,57.96,64.4,50.14,63.98
Aston Villa,71.26978417266187,69.93884892086331,58.02877697841727,62.95323741007194,67.64748201438849,56.064748201438846,68.5863309352518
Aston Villa W,75.10526315789474,70.42105263157895,60.31578947368421,67.8157894736842,71.3157894736842,61.78947368421053,66.0
Astra,64.52083333333333,70.0,51.3125,56.604166666666664,60.8125,48.520833333333336,64.20833333333333
Atalanta,73.36437246963563,69.08906882591093,57.340080971659916,62.76113360323887,67.33603238866397,59.340080971659916,69.78947368421052
Athletic Bilbao W,71.56,69.12,59.36,67.0,66.56,59.08,64.84
Athletic Club,74.49624060150376,69.28947368421052,61.19172932330827,66.4812030075188,69.61654135338345,60.214285714285715,70.40977443609023
Athletic Club de Bilbao B,65.17391304347827,65.56521739130434,50.04347826086956,58.69565217391305,59.608695652173914,51.82608695652174,61.78260869565217
Athletico Paranaense,70.1625,68.7125,56.1375,61.19375,64.1125,56.01875,64.83125
Athlone Town,51.52173913043478,59.95652173913044,43.56521739130435,44.91304347826087,47.21739130434783,43.78260869565217,55.34782608695652
Atlanta United,66.23497267759562,69.55191256830601,53.08196721311475,57.10382513661202,63.743169398907106,50.51912568306011,64.4207650273224
Atlas,66.27638190954774,69.94472361809045,54.07537688442211,58.02512562814071,64.00502512562814,50.93467336683417,63.402010050251256
Atletico Madrid W,75.28,71.64,62.64,68.04,72.56,61.16,69.52
Atlético Bucaramanga,64.1063829787234,66.53191489361703,49.61702127659574,53.97872340425532,58.52127659574468,49.8936170212766,63.787234042553195
Atlético GO,69.94444444444444,67.19444444444444,53.625,61.69444444444444,65.15277777777777,54.486111111111114,65.34722222222223
Atlético Grau,59.86363636363637,64.31818181818181,48.22727272727273,51.72727272727273,56.13636363636363,45.18181818181818,59.63636363636363
Atlético Huila,61.37931034482759,67.06896551724138,46.648275862068964,50.43448275862069,56.855172413793106,46.11724137931034,61.296551724137935
Atlético Madrid,76.43065693430657,72.42335766423358,61.60948905109489,67.00729927007299,71.02554744525547,59.667883211678834,69.5948905109489
Atlético Mineiro,72.73939393939393,69.52727272727273,57.36363636363637,63.375757575757575,66.61818181818182,57.93939393939394,66.92727272727272
Atlético Nacional,67.12448132780084,68.38174273858921,52.17427385892116,57.03734439834025,61.67219917012448,51.477178423236516,66.21991701244814
Atlético San Luis,65.71232876712328,67.23287671232876,52.49315068493151,57.36986301369863,61.863013698630134,52.56164383561644,63.68493150684932
Atlético Tucumán,66.58585858585859,66.84848484848484,52.388888888888886,57.25757575757576,62.41919191919192,51.176767676767675,64.86868686868686
Atlético de Rafaela,62.629629629629626,66.93827160493827,49.22222222222222,52.876543209876544,58.93827160493827,47.925925925925924,63.18518518518518
Aucas,62.492753623188406,67.73913043478261,50.05797101449275,54.18840579710145,59.072463768115945,48.971014492753625,62.57971014492754
Audax Italiano,64.55932203389831,67.7457627118644,51.19774011299435,55.81920903954802,60.32203389830509,49.94915254237288,62.706214689265536
Austin,65.26315789473684,69.05263157894737,53.81578947368421,57.578947368421055,62.61842105263158,50.828947368421055,65.51315789473684
Austria Klagenfurt,62.84722222222222,62.18055555555556,49.65277777777778,54.486111111111114,59.25,51.18055555555556,62.986111111111114
Austria Lustenau,61.97674418604651,64.76744186046511,47.627906976744185,53.51162790697674,60.41860465116279,47.372093023255815,59.74418604651163
Austria Wien,64.5495867768595,68.9297520661157,51.68595041322314,55.070247933884296,61.18181818181818,48.243801652892564,64.48347107438016
Auxerre,64.984,65.216,51.108,56.108,61.152,49.66,64.064
Avaí FC,67.40963855421687,66.6144578313253,53.65060240963855,58.795180722891565,62.493975903614455,53.86746987951807,63.3855421686747
Avellino,63.41237113402062,66.24742268041237,48.70103092783505,53.56701030927835,58.83505154639175,47.50515463917526,65.51546391752578
Avispa Fukuoka,61.98076923076923,66.01923076923077,48.36538461538461,50.53846153846154,56.44230769230769,45.36538461538461,65.92307692307692
Ayacucho,64.48,69.56,51.88,56.6,60.0,52.88,61.32
BB Erzurumspor,65.08163265306122,65.95918367346938,49.91836734693877,55.46938775510204,60.48979591836735,49.30612244897959,63.38775510204081
Bahia,69.97222222222223,67.05555555555556,54.388888888888886,61.44444444444444,62.27777777777778,53.888888888888886,65.91666666666667
Balıkesirspor,61.208333333333336,62.375,50.0,53.5,58.708333333333336,45.5,57.083333333333336
Banfield,65.6692607003891,65.8171206225681,51.88326848249027,55.36964980544747,61.51750972762646,50.59533073929961,63.023346303501945
Barcelona Guayaquil,66.11578947368422,68.61052631578947,50.54736842105263,56.810526315789474,60.63157894736842,52.76842105263158,64.13684210526316
Barcelona W,80.43478260869566,75.1304347826087,67.95652173913044,74.34782608695652,77.17391304347827,63.95652173913044,69.69565217391305
Bari 1908,66.81506849315069,68.55479452054794,52.73287671232877,56.47945205479452,63.226027397260275,50.45205479452055,65.3013698630137
Barnet,57.25,70.5657894736842,43.35526315789474,46.43421052631579,52.86842105263158,41.578947368421055,62.0921052631579
Barnsley,62.34615384615385,69.1923076923077,48.17307692307692,51.70384615384615,58.80384615384615,48.08076923076923,63.19615384615385
Barracas Central,66.44897959183673,67.26530612244898,53.38775510204081,57.91836734693877,61.91836734693877,53.97959183673469,64.48979591836735
Barrow,60.0,66.58064516129032,46.70967741935484,50.40860215053763,56.86021505376344,48.795698924731184,65.36559139784946
Basel,67.93775933609959,71.3195020746888,55.468879668049794,59.16597510373444,64.9253112033195,51.06224066390042,66.9045643153527
Bastia,65.14864864864865,66.12837837837837,51.270270270270274,57.29054054054054,61.46621621621622,50.486486486486484,62.67567567567568
Bayer 04 Leverkusen,75.2928870292887,72.7071129707113,59.41422594142259,66.97071129707113,71.66108786610879,58.06694560669456,68.85774058577405
Bayer Leverkusen W,71.78260869565217,64.3913043478261,57.56521739130435,63.34782608695652,67.69565217391305,61.21739130434783,64.82608695652173
Bayern Munich W,80.5909090909091,73.68181818181819,65.45454545454545,73.0909090909091,77.0,63.59090909090909,72.13636363636364
Bayern München II,60.48,66.96,43.82,49.06,59.16,45.4,58.7
Bayreuth,60.08,66.2,46.72,51.2,55.24,46.68,62.76
Beerschot,66.0,69.54,52.46,57.16,61.84,51.04,66.18
Beijing Guoan,63.675862068965515,70.33793103448276,50.44137931034483,55.772413793103446,60.206896551724135,51.724137931034484,65.97241379310344
Beijing Renhe FC,60.34,67.12,46.02,51.42,57.9,48.72,62.3
Belenenses,67.83756345177665,65.79695431472081,52.390862944162436,57.26903553299493,63.441624365482234,52.786802030456855,65.8730964467005
Belgrano,64.83225806451613,64.21290322580646,52.47741935483871,55.83225806451613,60.07741935483871,48.541935483870965,62.9741935483871
Benevento,67.36969696969697,68.72121212121212,51.07878787878788,57.45454545454545,63.157575757575756,51.82424242424243,65.08484848484848
Benfica,76.32183908045977,73.0727969348659,62.99616858237548,66.85823754789271,72.70498084291188,58.32183908045977,70.02681992337165
Bengaluru,57.26086956521739,66.94202898550725,45.7536231884058,47.78260869565217,53.6231884057971,42.971014492753625,62.94202898550725
Beşiktaş,72.94444444444444,71.28968253968254,61.198412698412696,65.08333333333333,70.28174603174604,55.72222222222222,69.36507936507937
Birmingham City,66.00373134328358,69.56716417910448,52.69776119402985,56.85820895522388,62.014925373134325,52.06716417910448,66.6455223880597
Blackburn Rovers,65.32209737827715,68.56554307116104,51.37827715355805,56.644194756554306,61.87640449438202,53.164794007490634,65.0187265917603
Blackpool,62.03829787234042,68.44255319148937,49.65531914893617,52.238297872340425,58.82127659574468,47.05531914893617,62.61702127659574
Blau-Weiß Linz,60.86363636363637,64.22727272727273,47.81818181818182,52.22727272727273,56.5,49.81818181818182,60.68181818181818
Blooming,61.36734693877551,62.53061224489796,45.714285714285715,51.10204081632653,57.285714285714285,48.36734693877551,59.87755102040816
Boavista,67.34645669291339,66.6259842519685,53.161417322834644,56.24409448818898,63.118110236220474,51.90944881889764,65.79133858267717
Boca Juniors,71.85992217898833,70.79377431906615,57.280155642023345,62.54863813229572,68.16731517509727,56.96887159533074,69.62256809338521
Bodø / Glimt,62.872037914691944,71.81516587677726,51.43601895734597,54.53080568720379,60.55924170616114,50.04265402843602,63.28436018957346
Bohemians,57.08715596330275,61.362385321100916,47.12385321100918,50.04128440366973,54.28440366972477,45.11467889908257,58.07339449541284
Bologna,70.90225563909775,68.51127819548873,54.642857142857146,61.390977443609025,66.74812030075188,56.04887218045113,67.203007518797
Bolton Wanderers,63.77366255144033,67.75308641975309,49.609053497942384,53.80246913580247,59.54320987654321,51.18930041152263,65.93004115226337
Bolívar,63.83561643835616,66.94520547945206,48.76712328767123,54.082191780821915,59.726027397260275,50.64383561643836,61.205479452054796
Bordeaux,70.06106870229007,68.6526717557252,54.97328244274809,61.75954198473283,67.04580152671755,54.64503816793893,66.54198473282443
Bordeaux W,70.33333333333333,68.30555555555556,59.111111111111114,64.19444444444444,68.19444444444444,56.138888888888886,63.22222222222222
Borussia Dortmund,75.48214285714286,74.09642857142858,61.225,67.975,73.01785714285714,59.58571428571429,68.36071428571428
Borussia Dortmund II,61.65217391304348,70.21739130434783,46.34782608695652,51.82608695652174,60.333333333333336,45.14492753623188,62.869565217391305
Borussia Mönchengladbach,72.32608695652173,69.83333333333333,57.42391304347826,65.34420289855072,69.23188405797102,56.757246376811594,66.26449275362319
Botafogo,70.81481481481481,66.62037037037037,56.851851851851855,62.73148148148148,65.62962962962963,54.50925925925926,64.45370370370371
Botoşani,61.774193548387096,68.37903225806451,49.225806451612904,52.91129032258065,58.564516129032256,47.95967741935484,61.596774193548384
Boyacá Chicó FC,59.386138613861384,65.37623762376238,43.54455445544554,48.336633663366335,54.0,45.57425742574257,60.23762376237624
Bradford City,60.86666666666667,69.02083333333333,46.9125,50.92916666666667,57.75833333333333,46.50416666666667,64.70416666666667
Bragantino,73.25925925925925,69.94444444444444,60.94444444444444,64.11111111111111,67.16666666666667,56.611111111111114,67.64814814814815
Brann,63.775757575757574,68.46666666666667,52.38787878787879,55.46666666666667,60.7939393939394,51.06060606060606,66.22424242424242
Bray Wanderers,54.118811881188115,59.118811881188115,43.0,46.306930693069305,49.43564356435643,43.13861386138614,57.475247524752476
Brentford,66.92700729927007,70.31021897810218,52.77007299270073,58.35766423357664,64.44160583941606,52.496350364963504,64.9014598540146
Brescia,64.75113122171946,68.6606334841629,50.16289592760181,55.09954751131222,60.705882352941174,51.13574660633484,64.33031674208145
Brest,67.24890829694323,67.0349344978166,53.3231441048035,59.7117903930131,64.2882096069869,52.48471615720524,65.48471615720524
Brighton & Hove Albion,70.27857142857142,67.50714285714285,56.878571428571426,62.135714285714286,67.00357142857143,55.44642857142857,66.80714285714286
Brighton & Hove Albion W,72.425,67.1,58.325,65.675,68.55,58.825,64.475
Brisbane Roar,61.55050505050505,68.81818181818181,48.515151515151516,53.41414141414141,58.813131313131315,47.35353535353536,62.525252525252526
Bristol City,65.45283018867924,69.59622641509434,51.48301886792453,55.87169811320755,61.93207547169811,51.04150943396226,64.70566037735848
Bristol City W,69.11111111111111,64.27777777777777,54.27777777777778,60.333333333333336,64.05555555555556,53.94444444444444,63.72222222222222
Bristol Rovers,61.254464285714285,68.20535714285714,48.55357142857143,53.120535714285715,58.151785714285715,48.964285714285715,64.33035714285714
Brommapojkarna,60.30434782608695,67.3623188405797,48.56521739130435,52.768115942028984,57.95652173913044,48.69565217391305,62.768115942028984
Brøndby,64.85470085470085,69.38034188034187,52.123931623931625,55.98290598290598,61.43589743589744,50.46153846153846,66.22649572649573
Burgos,66.51470588235294,63.89705882352941,54.279411764705884,58.89705882352941,61.88235294117647,53.19117647058823,63.720588235294116
Burnley,69.50704225352112,67.56338028169014,55.69718309859155,60.894366197183096,65.80281690140845,56.485915492957744,67.54929577464789
Bursaspor,69.408,70.28,57.136,60.904,66.816,51.84,66.672
Burton Albion,61.57017543859649,66.19298245614036,49.166666666666664,52.21491228070175,57.54824561403509,49.36842105263158,65.66666666666667
Bury,61.09722222222222,65.72222222222223,50.90277777777778,52.65972222222222,56.90972222222222,45.770833333333336,62.451388888888886
Busan I'Park,60.883116883116884,67.05194805194805,48.03896103896104,51.38961038961039,56.55844155844156,47.97402597402598,63.76623376623377
CD Cobreloa,64.30434782608695,69.56521739130434,50.65217391304348,53.47826086956522,60.608695652173914,48.130434782608695,65.56521739130434
CD Feirense,66.64,67.93333333333334,53.21333333333333,54.96,63.56,49.29333333333334,63.413333333333334
CD Numancia,66.02797202797203,66.08391608391608,52.41958041958042,58.42657342657343,61.32867132867133,50.33566433566433,63.00699300699301
CD O'Higgins,65.63970588235294,68.2279411764706,52.61764705882353,56.161764705882355,61.85294117647059,50.43382352941177,64.79411764705883
CD Universidad de Concepción,65.2910447761194,64.95522388059702,49.14179104477612,56.66417910447761,61.05223880597015,50.76119402985075,65.35820895522389
CF Montréal,65.40316205533597,69.29644268774703,52.32806324110672,57.58893280632411,62.99604743083004,51.69960474308301,65.63636363636364
CF Rayo Majadahonda,66.73684210526316,65.63157894736842,51.31578947368421,57.1578947368421,60.68421052631579,49.21052631578947,62.526315789473685
CF Reus Deportiu,67.34285714285714,64.0,55.75714285714286,59.25714285714286,62.27142857142857,51.81428571428572,62.957142857142856
CFR Cluj,67.00826446280992,67.66115702479338,54.30578512396694,57.94214876033058,61.99173553719008,52.074380165289256,71.0909090909091
CSKA Moskva,71.10795454545455,70.8409090909091,58.84090909090909,63.15340909090909,65.47727272727273,56.66477272727273,65.86931818181819
CSM Politehnica Iași,61.80281690140845,65.36619718309859,47.816901408450704,52.943661971830984,57.49295774647887,47.76056338028169,61.63380281690141
Caen,66.8821138211382,66.92276422764228,51.333333333333336,57.951219512195124,62.03252032520325,53.02845528455285,65.67886178861788
Cagliari,69.99595141700405,68.06477732793522,55.74493927125506,60.663967611336034,66.13765182186235,55.979757085020246,66.51821862348179
Cambridge United,59.467532467532465,69.43290043290044,45.44588744588744,49.285714285714285,54.688311688311686,46.666666666666664,64.08225108225108
Cangzhou Mighty Lions,58.15,64.69,47.02,48.49,54.34,46.21,62.03
Caracas,61.675324675324674,66.57142857142857,49.142857142857146,51.72727272727273,57.883116883116884,45.05194805194805,59.57142857142857
Cardiff City,66.91143911439114,68.27675276752767,53.845018450184504,56.87084870848709,62.35424354243543,51.808118081180815,67.09225092250922
Carlisle United,59.125560538116595,66.1390134529148,46.856502242152466,50.04932735426009,55.01793721973094,45.33183856502242,63.2152466367713
Carlos Manucci,63.72,65.96,50.88,54.56,59.04,51.72,59.6
Carpi,65.19354838709677,69.44354838709677,48.58870967741935,53.78225806451613,61.21774193548387,48.70161290322581,65.33870967741936
Casa Pia,67.5909090909091,68.77272727272727,55.18181818181818,59.11363636363637,64.5,53.04545454545455,65.13636363636364
Castellammare di Stabia,63.5,63.84615384615385,49.34615384615385,54.26923076923077,59.11538461538461,48.30769230769231,60.73076923076923
Castellón,65.24,67.44,55.2,58.36,61.88,49.68,61.08
Catania,65.95833333333333,67.375,55.083333333333336,57.541666666666664,63.166666666666664,49.416666666666664,63.333333333333336
Catanzaro,64.83333333333333,70.54166666666667,53.458333333333336,58.75,63.0,50.625,62.75
Ceará,68.97777777777777,65.44444444444444,55.18888888888889,60.077777777777776,62.81111111111111,54.15555555555556,63.888888888888886
Celta de Vigo,71.30795847750865,68.25951557093425,55.470588235294116,62.16262975778547,67.01038062283737,54.80276816608997,64.1280276816609
Celtic,69.98443579766537,73.3385214007782,56.34241245136187,61.99610894941634,67.8249027237354,54.03501945525292,67.56809338521401
Central Coast Mariners,60.03030303030303,69.32323232323232,47.292929292929294,50.35353535353536,57.015151515151516,45.69191919191919,62.621212121212125
Central Cordoba SdE,65.4251968503937,66.07086614173228,51.78740157480315,56.20472440944882,62.275590551181104,50.67716535433071,64.18897637795276
Centro Sportivo Alagoano,70.16666666666667,70.11111111111111,57.27777777777778,60.833333333333336,63.72222222222222,53.833333333333336,67.38888888888889
Cercle Brugge,64.85454545454546,67.47878787878788,49.56969696969697,56.85454545454545,61.4969696969697,50.945454545454545,63.35757575757576
Cerezo Osaka,64.73484848484848,68.12878787878788,52.34090909090909,56.93939393939394,60.803030303030305,46.39393939393939,63.871212121212125
Cerro Largo,62.46153846153846,65.51282051282051,46.30769230769231,52.48717948717949,57.02564102564103,51.333333333333336,62.69230769230769
Cerro Porteño,64.87142857142857,67.2,49.55714285714286,55.0,59.371428571428574,50.74285714285714,61.31428571428572
Cesena,65.11881188118812,66.01980198019803,50.62376237623762,55.18811881188119,60.17821782178218,48.35643564356435,64.77227722772277
Chacarita Juniors,61.68,66.6,47.48,51.36,59.56,46.6,56.44
Chambly,62.648148148148145,63.74074074074074,46.888888888888886,51.888888888888886,58.18518518518518,49.01851851851852,61.46296296296296
Changchun Yatai,60.62,64.69,46.34,50.02,55.97,49.34,64.33
